항목,값,단위,설명
나이,31,세,
성별,남자,,
신장,167,cm,
체중,55,kg,
골격근량,28,kg,
체지방률,16,%,
활동지수,1.3,,

기초대사량(BMR),,,
Mifflin-St Jeor 공식,1451,kcal/day,"10 × 체중(kg) + 6.25 × 신장(cm) - 5 × 나이 + 5"
Katch-McArdle 공식,1544,kcal/day,"370 + 21.6 × 제지방량(kg), 제지방량 = 55 × (1 - 0.16) = 46.2kg"

활동대사량(TDEE),,,
Mifflin 기준,1886,kcal/day,"BMR × 활동지수 (1451 × 1.3)"
Katch 기준,2007,kcal/day,"BMR × 활동지수 (1544 × 1.3)"
권장 사용값,1950,kcal/day,두 공식의 평균값

휴식 소모 칼로리,,,
수면(8시간),387,kcal,"BMR × 0.95 × 8/24 = 460 kcal"
좌식 휴식,60,kcal/hour,"BMR × 1.0 / 24"
TV 시청,70,kcal/hour,"BMR × 1.15 / 24"
독서/공부,75,kcal/hour,"BMR × 1.2 / 24"

일상 활동 소모 칼로리,,,
서서 작업,90,kcal/hour,"BMR × 1.5 / 24"
천천히 걷기(3km/h),140,kcal/hour,"BMR × 2.3 / 24"
보통 걷기(4-5km/h),190,kcal/hour,"BMR × 3.0 / 24"
빠르게 걷기(6km/h),260,kcal/hour,"BMR × 4.0 / 24"
계단 오르기,420,kcal/hour,"BMR × 6.5 / 24"
가벼운 집안일,120,kcal/hour,"BMR × 2.0 / 24"
요리,110,kcal/hour,"BMR × 1.8 / 24"

운동 소모 칼로리,,,
스트레칭,150,kcal/hour,"BMR × 2.5 / 24"
요가,180,kcal/hour,"BMR × 3.0 / 24"
웨이트 트레이닝(중강도),240,kcal/hour,"BMR × 4.0 / 24"
조깅(8km/h),450,kcal/hour,"BMR × 7.0 / 24"
달리기(10km/h),580,kcal/hour,"BMR × 9.0 / 24"
사이클링(중강도),360,kcal/hour,"BMR × 6.0 / 24"
수영(중강도),420,kcal/hour,"BMR × 7.0 / 24"
배드민턴,330,kcal/hour,"BMR × 5.5 / 24"

하루 권장 칼로리,,,
체중 유지,1950,kcal/day,TDEE
체중 감량(-0.5kg/주),1450,kcal/day,"TDEE - 500"
체중 증량(+0.5kg/주),2450,kcal/day,"TDEE + 500"
